DATE,CLOSE,HIGH,LOW,OPEN,TRADES,VWAP
2024-09-20,3008.5,3025.0,2942.05,2948.15,76536,3000.83
2024-09-19,2943.15,2975.25,2890.35,2975.05,79202,2930.13
2024-09-18,2956.3,2984.75,2935.0,2976.0,37955,2959.83
2024-09-17,2975.2,2995.9,2952.5,2990.05,44150,2971.05
2024-09-16,2984.9,3026.4,2972.0,2972.0,44149,3000.63
2024-09-13,2968.35,3001.95,2956.05,2972.0,46440,2974.23
2024-09-12,2991.0,3000.0,2917.15,2950.0,89512,2962.52
2024-09-11,2937.85,2992.95,2928.0,2985.0,54027,2958.05
2024-09-10,2986.4,3007.4,2947.6,2971.6,55050,2975.72
2024-09-09,2964.15,2972.5,2927.3,2972.1,75178,2953.73
2024-09-06,2975.45,3025.0,2968.0,3019.0,75683,2990.04
2024-09-05,3015.35,3037.9,3002.0,3025.0,45054,3015.88
2024-09-04,3012.35,3025.0,2955.2,3010.0,51072,3005.91
2024-09-03,3036.1,3053.05,3023.8,3037.0,43530,3036.89
2024-09-02,3042.15,3059.15,2997.6,3021.1,73749,3025.26
2024-08-30,3019.35,3038.55,3003.3,3030.0,77468,3019.69
2024-08-29,3020.15,3041.95,2981.3,3030.0,100949,3007.33
2024-08-28,3028.0,3078.0,3022.1,3078.0,62349,3041.32
2024-08-27,3067.1,3095.75,3064.0,3072.2,43632,3078.59
2024-08-26,3069.0,3090.0,3055.0,3088.0,73150,3069.89
2024-08-23,3076.35,3123.0,3067.6,3101.0,61780,3088.57
2024-08-22,3099.05,3150.0,3091.0,3130.75,53089,3122.8
2024-08-21,3115.7,3153.3,3068.4,3070.65,56394,3110.53
2024-08-20,3070.65,3126.0,3058.85,3118.95,42615,3084.66
2024-08-19,3102.55,3134.3,3092.95,3122.05,35313,3113.97
2024-08-16,3108.8,3121.6,3039.35,3070.0,54922,3079.35
2024-08-14,3040.1,3085.7,3027.75,3085.7,70048,3051.52
2024-08-13,3092.2,3178.1,3081.75,3170.05,89159,3120.8
2024-08-12,3151.75,3169.85,3014.0,3100.0,368244,3101.13
2024-08-09,3187.55,3219.3,3171.05,3209.0,43358,3193.28
2024-08-08,3167.55,3242.65,3156.55,3190.55,107274,3194.74
2024-08-07,3185.95,3190.0,3112.0,3118.0,74727,3163.01
2024-08-06,3072.7,3142.8,3057.25,3084.0,124189,3108.0
2024-08-05,3038.2,3133.05,2996.3,3085.0,139819,3062.45
2024-08-02,3160.9,3215.0,3111.0,3200.0,149926,3174.06
2024-08-01,3217.25,3258.0,3151.7,3180.0,234840,3212.46
2024-07-31,3169.4,3197.5,3135.0,3141.0,113298,3171.25
2024-07-30,3128.75,3155.0,3066.65,3092.0,98232,3120.89
2024-07-29,3089.35,3120.35,3074.0,3094.3,68832,3097.85
2024-07-26,3080.5,3109.0,2988.1,2995.0,111808,3066.52
2024-07-25,2973.5,3017.65,2945.1,2960.7,75405,2980.02
2024-07-24,2970.7,3007.5,2959.3,2995.35,54185,2980.98
