DATE,CLOSE,HIGH,LOW,OPEN,TRADES,VWAP
2024-09-20,781.7,794.85,779.5,794.85,265805,785.43
2024-09-19,789.95,801.35,784.05,795.05,218449,791.39
2024-09-18,792.75,794.75,782.0,783.8,255355,791.27
2024-09-17,782.9,787.5,780.55,785.6,223966,784.12
2024-09-16,785.55,795.0,784.4,790.85,235580,788.19
2024-09-13,790.85,795.0,785.1,791.0,337655,790.44
2024-09-12,787.75,789.9,772.75,775.0,308964,780.47
2024-09-11,768.6,788.0,765.4,780.05,307051,775.71
2024-09-10,782.65,788.8,777.5,788.0,241486,782.41
2024-09-09,784.25,788.2,771.0,785.0,416430,779.38
2024-09-06,782.5,812.9,777.0,811.5,753751,790.89
2024-09-05,818.75,822.15,814.4,818.35,146739,819.29
2024-09-04,816.5,818.65,813.65,815.45,177040,816.16
2024-09-03,824.8,825.95,816.4,822.15,197793,821.71
2024-09-02,822.15,825.4,813.05,817.3,279222,819.67
2024-08-30,815.6,820.7,814.35,817.15,161440,816.37
2024-08-29,814.5,816.0,806.95,809.55,307266,812.98
2024-08-28,809.4,817.2,806.5,814.75,189651,812.23
2024-08-27,815.9,819.45,811.05,817.8,188750,816.19
2024-08-26,815.05,823.45,813.8,818.0,153882,818.73
2024-08-23,815.35,822.0,814.5,821.5,137876,817.21
2024-08-22,820.3,823.9,817.1,819.0,170021,820.73
2024-08-21,815.55,821.0,811.2,820.3,207262,815.09
2024-08-20,820.3,823.0,813.35,817.95,172376,819.61
2024-08-19,813.7,825.4,812.6,815.0,174502,817.66
2024-08-16,812.1,814.9,803.0,803.0,251297,810.05
2024-08-14,803.0,809.15,800.4,800.95,236789,803.92
2024-08-13,797.55,820.0,795.05,813.5,322018,807.01
2024-08-12,812.6,823.0,811.2,820.6,250757,815.34
2024-08-09,824.3,829.95,809.55,816.0,212970,819.02
2024-08-08,808.05,817.8,802.8,812.0,240989,809.92
2024-08-07,808.65,810.7,800.55,809.0,281837,805.9
2024-08-06,797.7,826.55,795.65,822.65,330145,810.02
2024-08-05,811.65,831.35,800.0,830.0,539085,815.37
2024-08-02,847.85,858.3,846.15,856.7,253151,850.62
2024-08-01,862.65,881.4,859.45,877.8,172670,870.65
2024-07-31,872.4,874.95,868.0,873.85,185998,871.25
2024-07-30,872.8,880.55,869.0,874.7,232883,874.1
2024-07-29,871.6,889.1,863.2,866.05,380412,877.2
2024-07-26,862.45,864.25,844.0,844.65,199144,857.5
2024-07-25,848.5,850.75,841.2,847.5,180539,846.52
2024-07-24,852.0,868.0,847.2,864.2,322758,854.85
2024-07-23,863.9,884.5,849.1,883.0,382383,868.8
2024-07-22,876.8,895.0,868.0,881.45,283608,881.14
2024-07-19,889.35,899.0,883.3,895.0,316170,890.65
2024-07-18,893.55,894.9,877.5,880.65,380546,889.57
2024-07-16,880.7,888.1,874.3,882.3,196244,880.47
2024-07-15,881.35,887.35,859.7,859.7,325154,876.59
2024-07-12,859.7,863.0,855.3,856.7,192216,859.68
2024-07-11,856.7,858.3,849.75,854.4,177916,854.92
2024-07-10,849.0,860.25,843.5,860.1,269867,850.31
2024-07-09,861.3,869.95,856.0,859.9,243152,863.76
2024-07-08,856.25,865.0,853.5,859.75,158034,858.53
2024-07-05,859.75,861.25,837.0,838.0,279716,850.91
2024-07-04,839.3,844.9,834.3,843.0,190968,839.96
2024-07-03,839.95,843.85,825.0,829.0,263776,834.97
2024-07-02,826.15,846.3,823.15,844.0,406548,832.38
2024-07-01,841.95,850.5,839.95,849.35,200173,843.77
2024-06-28,848.95,864.0,844.0,846.9,323370,855.04
2024-06-27,844.0,847.4,838.25,843.9,320327,843.39
2024-06-26,845.35,848.8,836.0,839.85,236219,843.76
2024-06-25,842.25,845.85,834.3,837.0,278788,841.3
2024-06-24,832.7,836.0,821.05,831.5,229601,829.99
2024-06-21,836.3,848.05,828.6,844.9,305592,837.22
2024-06-20,843.75,853.1,842.35,853.0,214049,846.89
2024-06-19,852.6,860.6,841.0,846.8,394742,850.68
2024-06-18,844.9,851.5,840.25,841.55,241973,847.17
2024-06-14,839.2,849.9,835.1,845.0,206549,841.9
2024-06-13,843.9,845.9,836.1,845.0,185661,842.29
2024-06-12,839.1,845.55,833.0,837.0,247749,840.25
2024-06-11,835.55,839.6,829.05,836.0,223238,835.28
2024-06-10,831.8,845.45,829.2,834.15,283108,837.18
2024-06-07,829.95,831.5,810.5,819.9,346989,823.33
2024-06-06,816.95,833.35,796.0,800.0,611412,818.98
